43,414
42,412
41,410
40,408
38,406
37,404
36,402
35,400
35,398
34,395
33,393
33,390
32,387
32,384
32,382
32,380
32,378
32,376
33,374
34,371
34,369
35,368
36,366
37,363
39,362
39,360
41,358
41,357
42,356
43,354
44,352
45,351
46,350
47,349
48,348
49,347
50,346
51,345
52,345
52,344
53,344
54,343
56,343
57,343
58,342
60,342
63,342
65,342
67,342
69,342
71,344
73,344
75,346
77,347
79,349
80,351
82,352
83,355
84,357
85,359
85,362
85,364
86,367
86,370
86,373
86,376
86,379
86,381
85,382
84,383
84,386
84,387
84,388
83,389
82,390
81,390
81,391
80,391
79,391
78,392
77,392
76,392
75,392
73,392
72,391
70,390
69,389
68,387
67,386
66,385
65,383
64,381
63,380
63,378
63,375
63,372
62,370
62,367
62,364
62,361
62,358
63,355
63,351
64,348
66,344
67,341
69,338
71,336
73,333
75,330
79,327
82,325
86,324
88,322
91,322
94,320
97,320
99,319
102,318
105,318
108,318
110,318
112,318
114,318
116,318
118,318
121,318
123,319
125,320
127,320
129,322
131,323
133,324
134,325
137,327
138,329
140,331
141,332
142,333
142,334
143,335
144,337
144,338
145,340
146,341
146,343
146,344
146,345
147,347
147,348
147,349
147,351
147,352
147,353
147,354
146,355
146,356
145,357
144,357
143,357
142,357
140,357
139,356
138,356
137,355
135,354
135,353
134,353
132,352
131,351
130,350
129,349
128,348
127,347
126,345
125,344
125,342
124,340
124,337
124,334
124,332
124,330
124,327
124,325
124,322
124,321
125,318
127,316
128,313
130,311
131,308
133,306
136,305
138,302
140,301
142,299
143,298
144,297
146,297
148,296
149,296
150,296
152,296
154,296
156,296
158,296
161,296
164,296
166,297
168,297
171,298
174,299
175,299
177,299
178,300
180,301
182,303
183,303
184,305
185,306
187,307
187,309
188,310
189,313
189,316
189,318
189,321
189,324
189,327
189,329
188,332
188,335
187,337
187,339
186,341
185,341
185,342
184,343
184,344
183,345
182,345
181,345
179,345
178,344
177,343
174,341
173,338
171,335
169,332
169,328
167,324
166,321
164,317
164,313
164,309
163,304
162,300
162,293
162,285
163,278
164,271
166,265
